PLAYERID,NAME,FNAME,ID7,BIRTHDATE,SKINTONE,EYEWEAR,SPEECH05,CFAVAIL,USE,COACH,PORTIN05,PORTIN06,IS07OR08,ISID7DUPL
0,McKie,Aaron,AAMCKIE,19721002,3,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE
1,Williams,Aaron,AAWILLI,19711002,1,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE
4,Foyle,Adonal,ADFOYLE,19750329,4,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE
6,Henderson,Alan,ALHENDE,19720212,2,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE
7,Houston,Allan,ALHOUST,19710420,2,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE
8,Iverson,Allen,ALIVERS,19750607,3,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,TRUE
9,Mourning,Alonzo,ALMOURN,19700208,2,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,TRUE
11,Daniels,Antonio,ANDANIE,19750319,3,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE
12,Davis,Antonio,ANDAVIS,19681031,3,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE
13,DeClercq,Andrew,ANDECLE,19730201,1,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE
15,Hardaway,Penny,ANHARDA,19710718,3,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,TRUE
16,Johnson,Anthony,ANJOHNS,19741002,3,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE
18,Mason,Anthony,ANMASON,19661214,4,0,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE
19,McDyess,Antonio,ANMCDYE,19740907,4,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE
20,Parker,Anthony,ANPARKE,19750619,2,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,2007,FALSE
21,Peeler,Anthony,ANPEELE,19691125,3,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE
22,Walker,Antoine,ANWALKE,19760812,3,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE
24,Sabonis,Arvydas,ARSABON,19641219,0,0,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE
26,Croshere,Austin,AUCROSH,19750501,1,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE
27,Johnson,Avery,AVJOHNS,19650325,4,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE
28,Wallace,Ben,BEWALLA,19740910,4,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,TRUE
34,Jackson,Bobby,BOJACKS,19730313,4,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE
36,Sura,Bob,BOSURA_,19730325,1,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE
37,Barry,Brent,BRBARRY,19711231,0,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,TRUE
38,Bowen,Bruce,BRBOWEN,19710614,3,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE
40,Grant,Brian,BRGRANT,19720305,2,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE
41,Knight,Brevin,BRKNIGH,19751108,4,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE
42,Price,Brent,,,,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,FALSE
44,Russell,Bryon,BRRUSSE,19701231,3,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE
45,Shaw,Brian,BRSHAW_,19660322,3,0,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE
49,Cheaney,Calbert,CACHEAN,19710717,4,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE
54,Billups,Chauncey,CHBILLU,19760925,3,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE
60,Laettner,Christian,CHLAETT,19690817,1,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE
61,Mills,Chris,CHMILLS,19700125,2,0,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE
63,Mullin,Chris,CHMULLI,19630730,0,0,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,2007,FALSE
64,Oakley,Charles,CHOAKLE,19631218,4,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE
