PLAYERID,NAME,FNAME,NAMECOMBINE,ID7,BIRTHDATE,SKINTONE,EYEWEAR,SPEECH05,CFAVAIL,USE,COACH,PORTIN05,PORTIN06,IS07OR08,ISID7DUPL,ISIDDUPL
0,McKie,Aaron,"McKie,Aaron",AAMCKIE,19721002,3,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE,FALSE
1,Williams,Aaron,"Williams,Aaron",AAWILLI,19711002,1,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE,FALSE
2,Earl,Acie,"Earl,Acie",ACEARL_,19700623,,0,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,98,FALSE,FALSE
4,Foyle,Adonal,"Foyle,Adonal",ADFOYLE,19750329,4,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE,FALSE
5,Keefe,Adam,"Keefe,Adam",ADKEEFE,19700222,0,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,2001,FALSE,FALSE
6,Henderson,Alan,"Henderson,Alan",ALHENDE,19720212,2,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE,FALSE
7,Houston,Allan,"Houston,Allan",ALHOUST,19710420,2,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE,FALSE
8,Iverson,Allen,"Iverson,Allen",ALIVERS,19750607,3,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,TRUE,FALSE
9,Mourning,Alonzo,"Mourning,Alonzo",ALMOURN,19700208,2,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,TRUE,FALSE
10,Carr,Antoine,"Carr,Antoine",ANCARR_,19670909,4,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,2001,FALSE,FALSE
11,Daniels,Antonio,"Daniels,Antonio",ANDANIE,19750319,3,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE,FALSE
12,Davis,Antonio,"Davis,Antonio",ANDAVIS,19681031,3,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE,FALSE
13,DeClercq,Andrew,"DeClercq,Andrew",ANDECLE,19730201,1,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE,FALSE
15,Hardaway,Penny,"Hardaway,Penny",ANHARDA,19710718,3,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,TRUE,TRUE
15,Hardaway,Anfernee,"Hardaway,Anfernee",ANHARDA,19710718,3,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,TRUE,TRUE
16,Johnson,Anthony,"Johnson,Anthony",ANJOHNS,19741002,3,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE,FALSE
17,Lang,Andrew,"Lang,Andrew",ANLANG_,19751108,2,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,2001,FALSE,FALSE
18,Mason,Anthony,"Mason,Anthony",ANMASON,19661214,4,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE,FALSE
